split,horizon_minutes,model,role,samples,mean,median,p50,p75,p90,p95,p99,max
fold_F02,30,Logistic Current,validation_ambiguous,330,7.13267925327482e-08,1.9131973346615945e-15,1.9131973346615945e-15,4.76785155228564e-13,3.1994164280875996e-10,3.786764937881137e-09,2.650473394972888e-08,2.3260040349921847e-05
fold_F02,30,Logistic Current,validation_positive,30,0.001523747079303079,2.2738165371185033e-09,2.2738165371185033e-09,2.713533782796632e-06,0.0008438119906352035,0.006283295407462958,0.026661087545862976,0.03320239059711224
fold_F02,30,Logistic Temporal,validation_negative,39760,0.04008373305960842,2.9224341539071463e-22,2.9224341539071463e-22,8.058386106695932e-19,3.0742636670173105e-10,0.0019539038999550054,1.0,1.0
fold_F02,30,Logistic Temporal,validation_ambiguous,330,3.583112928774747e-18,1.985965871973773e-20,1.985965871973773e-20,4.396186034581334e-19,4.034233433914002e-18,1.3642644128137903e-17,9.454517063179574e-17,2.300524397582096e-16
fold_F02,30,Logistic Temporal,validation_positive,30,5.26907918125869e-18,1.1471598320568398e-19,1.1471598320568398e-19,2.805261362786116e-18,1.3997868948801032e-17,1.8885342632512933e-17,5.973297355781575e-17,7.512455976780966e-17
fold_F02,30,Static Normal-Range,validation_negative,39760,0.03596938775510204,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.7142857142857143
fold_F02,30,Static Normal-Range,validation_ambiguous,330,0.011255411255411255,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.42857142857142855
fold_F02,30,Static Normal-Range,validation_positive,30,0.07619047619047617,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.24428571428571438,0.2857142857142857
fold_F02,60,Logistic Current,validation_negative,39760,0.004990749194440265,2.4543528350092952e-14,2.4543528350092952e-14,1.0209940791111533e-10,1.1434717783495048e-07,5.253151599135262e-06,0.007320619592378846,0.9999997807468063
fold_F02,60,Logistic Current,validation_ambiguous,300,1.185411744190822e-07,3.110929718852554e-15,3.110929718852554e-15,1.052975719986586e-12,6.299279739273855e-10,7.076463722457062e-09,4.443444070756561e-08,3.51441433894571e-05
