split,validation_event,horizon_minutes,model,threshold_quantile,threshold_value,event_detected,warning_minutes,first_alert_timestamp,false_alarm_episodes,negative_days,false_alarm_episodes_per_day,earliest_warning_360m
fold_F03,F03,120,Random Forest Temporal,0.9995,0.4934840721232007,0,,,0,4.402777777777778,0.0,
fold_F03,F03,120,LightGBM Current,0.99,0.3795125796755338,1,112.0,2020-06-05 08:08:00,153,4.402777777777778,34.75078864353313,112.0
fold_F03,F03,120,LightGBM Current,0.995,0.8177021808477208,0,,,40,4.402777777777778,9.085173501577287,
fold_F03,F03,120,LightGBM Current,0.999,0.990571372664524,0,,,0,4.402777777777778,0.0,
fold_F03,F03,120,LightGBM Current,0.9995,0.990571372664524,0,,,0,4.402777777777778,0.0,
fold_F03,F03,120,LightGBM Temporal,0.99,0.0006862397770196319,1,94.0,2020-06-05 08:26:00,69,4.402777777777778,15.67192429022082,182.0
fold_F03,F03,120,LightGBM Temporal,0.995,0.001914302737110033,1,7.0,2020-06-05 09:53:00,32,4.402777777777778,7.26813880126183,182.0
fold_F03,F03,120,LightGBM Temporal,0.999,0.013211723660935974,0,,,20,4.402777777777778,4.542586750788644,181.0
fold_F03,F03,120,LightGBM Temporal,0.9995,0.026998557532130256,0,,,19,4.402777777777778,4.315457413249211,181.0
fold_F03,F03,120,Isolation Forest Temporal,0.99,0.06554800561404253,0,,,2,4.402777777777778,0.45425867507886436,
fold_F03,F03,120,Isolation Forest Temporal,0.995,0.08808565745971823,0,,,2,4.402777777777778,0.45425867507886436,
fold_F03,F03,120,Isolation Forest Temporal,0.999,0.14539198641100584,0,,,0,4.402777777777778,0.0,
fold_F03,F03,120,Isolation Forest Temporal,0.9995,0.17094542325034578,0,,,0,4.402777777777778,0.0,
